ID;EAN;Código Interno;Código IMendes;Status;Descrição;NCM;CEST;% IPI;CST IPI;CST Pis/Cofins Ent.;CST Pis/Cofins Sai.;Nat. Rec. Isenta Pis/Cofins;Lista;Tipo;% PIS;% COFINS;CFOP Compra;CFOP Venda;CST;CSOSN;Mod. BC.;% ICMS;% ICMS PDV;Simb. PDV;% Red. BC ICMS;% Red. BC ICMS ST;Mod. BC ST;% ICMS ST;IVA;Pauta ST;% FCP;Antecipado;% Desoneração;% Diferimento;Cód. ANP;Cód.Benefício;Data Alteração;Data Revisão;Data Último Consumo;Valor Venda
9818;7896020901556;7896020901556;;F;BATATA PALHA ROMANHA NAT  120 G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
9815;7896020901525;7896020901525;;F;BATATA PALHA ROMANHA NAT  80 G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
11733;7896273904137;7896273904137;;F;BATATA PALHA STIVAL 120G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
11732;7896273904120;7896273904120;;F;BATATA PALHA STIVAL 140G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
7669;7891962036212;7891962036212;;F;BATATA PALHA VISCONTI 120G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
5777;7891053710113;7891053710113;;F;BATATA PALHA VISCONTI 140G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
7657;7891962030012;7891962030012;;F;BATATA PALHA VISCONTI 80 G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
7647;7891962019529;7891962019529;;F;BATATA PALHA VISCONTI TEMP  140G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
15502;7898901982135;7898901982135;;F;BATATA PALHA WOKEY 80G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
6016;7891095031153;7891095031153;;F;BATATA PALHA YOKI  CEBOLA E SALSA 100G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
